most malaysians
malaysians today
today are
are still
still not
not wellinformed
wellinformed about
about mental
mental health
health and
and mental
mental disorders
misconception, stigma
stigma and
and discrimination
discrimination remain
remain pervasive
the malaysian
malaysian psychiatric
psychiatric association
association believes
believes the
the statistics
statistics could
could just
just be
be the
the tip
tip of
of the
the iceberg
iceberg as
as most
most cases
cases often
often go
go unreported
unreported or
or worse,
worse, affected
affected individuals
individuals do
do not
not receive
receive any
any attention
attention or
or treatment
it is
is important
important to
to know
know that
that mental
mental illness
illness is
is treatable
one of
of the
the key
key highlights
highlights of
of the
the handbook
handbook is
is how
how to
to recognize
recognize signs
signs or
or symptoms
symptoms of
of mental
mental illness
illness and
and when
when to
to seek
seek professional
professional help
mental disorders
disorders encompasses
encompasses a
a broad
broad range
range of
of problems,
problems, with
with different
different symptoms
however, they
they are
are generally
generally characterized
characterized by
by some
some combination
combination of
of abnormal
abnormal thoughts,
thoughts, emotions,
emotions, behaviours
behaviours and
and relationships
relationships with
with others
