Most Malaysians today
Malaysians today are
today are still
are still not
still not wellinformed
not wellinformed about
wellinformed about mental
about mental health
mental health and
health and mental
and mental disorders
Misconception, stigma and
stigma and discrimination
and discrimination remain
discrimination remain pervasive
The Malaysian Psychiatric
Malaysian Psychiatric Association
Psychiatric Association believes
Association believes the
believes the statistics
the statistics could
statistics could just
could just be
just be the
be the tip
the tip of
tip of the
of the iceberg
the iceberg as
iceberg as most
as most cases
most cases often
cases often go
often go unreported
go unreported or
unreported or worse,
or worse, affected
worse, affected individuals
affected individuals do
individuals do not
do not receive
not receive any
receive any attention
any attention or
attention or treatment
It is important
is important to
important to know
to know that
know that mental
that mental illness
mental illness is
illness is treatable
One of the
of the key
the key highlights
key highlights of
highlights of the
of the handbook
the handbook is
handbook is how
is how to
how to recognize
to recognize signs
recognize signs or
signs or symptoms
or symptoms of
symptoms of mental
of mental illness
mental illness and
illness and when
and when to
when to seek
to seek professional
seek professional help
Mental disorders encompasses
disorders encompasses a
encompasses a broad
a broad range
broad range of
range of problems,
of problems, with
problems, with different
with different symptoms
However, they are
they are generally
are generally characterized
generally characterized by
characterized by some
by some combination
some combination of
combination of abnormal
of abnormal thoughts,
abnormal thoughts, emotions,
thoughts, emotions, behaviours
emotions, behaviours and
behaviours and relationships
and relationships with
relationships with others
